sheet,col,n,mean,median,min,max,std
биометрия,52,43,25.43813953488372,19.77,0.7,105.45,23.236379181552838
биометрия,53,28,23.478214285714287,11.39,1.24,101.95,27.67271890890421
биометрия,58,42,5.943333333333333,4.42,0.0,25.6,4.9366726150248725
биометрия,59,50,5.28,4.555,0.94,13.8,3.4473265003477693
биометрия,60,51,6.041176470588235,5.71,0.0,19.7,3.984360921057515
биометрия,61,41,8.061463414634146,5.71,0.0,88.75,13.255654948071033
биометрия,62,26,5.7215384615384615,6.15,0.0,11.2,2.7838748484078146
биометрия,67,45,7.025111111111111,2.4,0.0,30.61,8.62724228430492
биометрия,68,51,7.088627450980392,3.14,0.1,31.7,7.597343968191196
биометрия,69,53,7.330188679245283,3.8,0.0,24.67,7.36075275338573
биометрия,70,42,9.200238095238095,4.42,0.0,30.78,9.330520193760249
биометрия,71,28,7.726785714285715,3.395,0.0,28.98,8.416267009942892
биометрия,2,55,11.00909090909091,5.0,1.0,26.0,9.196091516158031
биометрия,3,55,17.916363636363638,17.5,9.5,31.0,4.999227708951695
биометрия,4,55,18.672727272727272,17.5,6.0,31.0,5.041444762095108
биометрия,5,55,18.552727272727275,18.0,8.7,28.0,5.353906120189413
биометрия,6,55,18.71090909090909,18.0,9.0,30.5,5.175068650480888
биометрия,9,31,16.165860215053762,14.749999999999998,8.666666666666666,25.333333333333332,4.071185218191208
биометрия,11,55,6.067272727272727,5.0,1.0,15.0,3.963105051962736
биометрия,12,55,19.674545454545456,18.0,6.0,36.0,9.106445632963265
биометрия,13,55,19.616363636363637,20.0,2.0,39.0,9.393048950955238
биометрия,14,55,20.023636363636363,20.0,3.0,40.0,9.163583333179888
биометрия,15,55,19.685454545454544,17.0,4.0,36.1,9.840129677301803
биометрия,18,31,26.028225806451612,26.5,10.0,37.833333333333336,5.743116371058522
биометрия,20,55,8.683636363636364,5.0,1.0,30.0,7.873632952314236
биометрия,21,55,20.405454545454546,21.0,1.0,41.0,10.473471564460862
биометрия,29,55,6.909090909090909,5.0,1.0,23.0,5.7817038296296115
биометрия,30,52,16.173076923076923,16.0,0.0,40.0,7.544027576235782
биометрия,38,55,14.94890909090909,5.0,1.0,87.3,18.30179024255946
биометрия,39,53,62.425849056603774,50.0,0.0,174.35,41.653780114942855
биометрия,45,6,81.16888888888889,98.93166666666667,14.0,125.80333333333333,39.999733317012236
биометрия,47,52,8.753076923076923,4.05,0.6,78.1,12.514249960385397
биометрия,48,50,22.939,18.205,0.0,81.8,21.418769362407357
биометрия,56,53,3.7856603773584907,3.0,0.95,14.4,2.559388568959511
биометрия,57,51,6.794313725490196,6.42,0.6,28.8,4.967175887134779
биометрия,65,55,2.410909090909091,2.0,0.3,5.9,1.5381905222190873
биометрия,66,52,8.01423076923077,4.68,0.0,31.03,8.13847352587455
биометрия,7,43,18.951162790697673,20.0,4.0,31.0,5.660362881498268
биометрия,8,38,18.32894736842105,18.0,6.0,28.0,4.903377348143068
биометрия,16,43,20.348837209302324,21.0,5.5,40.0,8.751435021011558
биометрия,17,38,20.710526315789473,23.0,6.0,38.0,9.126761963233072
биометрия,25,42,19.4,18.75,2.0,43.0,8.675801047138172
биометрия,26,38,19.8,19.0,1.0,45.0,8.609419565984567
биохимия,6,31,20.87467741935484,0.109,0.018,644.0,113.7666068011929
биохимия,7,31,21.633225806451613,0.299,0.056,662.0,116.91450503285742
биохимия,18,31,14.668032258064516,0.388,0.048,440.0,77.65519118907545
биохимия,19,31,20.859516129032258,0.068,0.014,644.0,113.76937701328805
биохимия,20,31,21.589870967741934,0.185,0.037,662.0,116.92244247025101
биохимия,2,30,3.0,3.0,1.0,5.0,1.4142135623730951
биохимия,3,30,15.5,15.5,1.0,30.0,8.65544144839919
биохимия,4,30,0.1,0.1,0.1,0.1,0.0
биохимия,5,30,0.6078,0.625,0.114,1.117,0.25996466426548565
биохимия,8,30,2.7105849999999996,2.7883949999999995,0.52986,4.990469999999999,1.1592157179597764
биохимия,9,30,0.8874983333333333,0.9320749999999999,0.0980399999999999,1.6288399999999994,0.38772350399980765
биохимия,10,30,2.5958436000000003,2.6589032,0.48830160000000006,4.7790686,1.1109200246674333
биохимия,11,30,67.764625,69.70987499999998,13.246500000000001,124.76174999999999,28.980392948994407
биохимия,12,30,22.187458333333332,23.301874999999995,2.450999999999998,40.72099999999999,9.69308759999519
биохимия,13,30,89.95208333333332,94.30224999999999,16.38,162.37924999999998,38.36183957090547
биохимия,14,30,64.89609,66.47258,12.207540000000003,119.47671500000001,27.773000616685835
