date,cultivar,variant,metric,n,mean,min,max,cv_pct
2026-04-18,Цезарь,5,"Высота, см",6,2.15,1.7,2.5,13.086777531886925
2026-04-18,Каскад,2,"Ес, мСм/см",6,2.555,2.06,3.32,15.007373440342727
2026-04-18,Каскад,2,"Высота, см",6,5.55,1.8,9.0,43.22759977304889
2026-04-18,Каскад,3,"Ес, мСм/см",6,3.225,2.47,4.37,23.683745829522763
2026-04-18,Каскад,3,"Высота, см",6,3.8666666666666667,2.0,7.0,45.231929732223804
2026-04-18,Каскад,4,"Ес, мСм/см",6,2.703333333333333,2.13,3.55,18.448357040208368
2026-04-18,Каскад,4,"Высота, см",6,3.816666666666667,1.8,8.6,65.75352071017964
2026-04-18,Каскад,5,"Ес, мСм/см",6,4.0216666666666665,2.59,7.05,36.33695391327963
2026-04-18,Каскад,5,"Высота, см",6,1.4666666666666668,1.0,2.1,26.012552596044543
2026-04-18,Риф,2,"Ес, мСм/см",6,2.618333333333333,2.39,2.95,6.819271879183695
2026-04-18,Риф,2,"Высота, см",6,5.533333333333333,3.4,8.0,28.377266779069583
2026-04-18,Риф,3,"Ес, мСм/см",6,3.985,2.96,5.26,18.107645677947126
2026-04-18,Риф,3,"Высота, см",6,2.783333333333333,1.5,6.0,53.1046917552599
2026-04-18,Риф,4,"Ес, мСм/см",6,2.7916666666666665,2.2,3.94,21.522781373846286
2026-04-18,Риф,4,"Высота, см",6,3.3333333333333335,1.5,5.3,37.013511046643494
2026-04-18,Риф,5,"Ес, мСм/см",6,4.445,2.82,7.98,38.571087951959406
2026-04-18,Риф,5,"Высота, см",6,2.1333333333333333,0.5,3.6,43.610267927977695
