relay_id,event_ts,device,metric,before_30m_mean,after_0_30m_mean,after_30_120m_mean,delta_0_30m,delta_30_120m,n_before,n_after30,n_after120
11,2026-03-31 17:31:09,co2-1,co2,474.46666666666664,446.1333333333333,450.8333333333333,-28.333333333333314,-23.633333333333326,30,30,90
9,2026-03-31 17:31:09,th-1,temperature,26.636666666666667,27.816666666666666,27.194444444444443,1.1799999999999997,0.5577777777777762,30,30,90
9,2026-03-31 17:31:09,th-1,humidity,30.133333333333333,33.2,31.455555555555556,3.06666666666667,1.3222222222222229,30,30,90
9,2026-03-31 17:31:09,th-2,temperature,26.866666666666667,28.076666666666668,27.44111111111111,1.2100000000000009,0.5744444444444419,30,30,90
9,2026-03-31 17:31:09,th-2,humidity,31.1,34.0,32.44444444444444,2.8999999999999986,1.3444444444444414,30,30,90
9,2026-03-31 17:31:09,co2-1,temperature,27.06,28.046666666666667,27.243333333333332,0.9866666666666681,0.18333333333333357,30,30,90
9,2026-03-31 17:31:09,co2-1,humidity,35.873333333333335,38.77,36.76444444444444,2.8966666666666683,0.8911111111111083,30,30,90
9,2026-03-31 17:31:09,co2-1,co2,474.46666666666664,446.1333333333333,450.8333333333333,-28.333333333333314,-23.633333333333326,30,30,90
8,2026-03-31 17:31:19,th-1,temperature,26.636666666666667,27.816666666666666,27.194444444444443,1.1799999999999997,0.5577777777777762,30,30,90
8,2026-03-31 17:31:19,th-1,humidity,30.133333333333333,33.2,31.455555555555556,3.06666666666667,1.3222222222222229,30,30,90
8,2026-03-31 17:31:19,th-2,temperature,26.866666666666667,28.076666666666668,27.44111111111111,1.2100000000000009,0.5744444444444419,30,30,90
8,2026-03-31 17:31:19,th-2,humidity,31.1,34.0,32.44444444444444,2.8999999999999986,1.3444444444444414,30,30,90
8,2026-03-31 17:31:19,co2-1,temperature,27.06,28.046666666666667,27.243333333333332,0.9866666666666681,0.18333333333333357,30,30,90
8,2026-03-31 17:31:19,co2-1,humidity,35.873333333333335,38.77,36.76444444444444,2.8966666666666683,0.8911111111111083,30,30,90
8,2026-03-31 17:31:19,co2-1,co2,474.46666666666664,446.1333333333333,450.8333333333333,-28.333333333333314,-23.633333333333326,30,30,90
11,2026-03-31 17:31:55,th-1,temperature,26.636666666666667,27.816666666666666,27.194444444444443,1.1799999999999997,0.5577777777777762,30,30,90
11,2026-03-31 17:31:55,th-1,humidity,30.133333333333333,33.2,31.455555555555556,3.06666666666667,1.3222222222222229,30,30,90
11,2026-03-31 17:31:55,th-2,temperature,26.866666666666667,28.076666666666668,27.44111111111111,1.2100000000000009,0.5744444444444419,30,30,90
11,2026-03-31 17:31:55,th-2,humidity,31.1,34.0,32.44444444444444,2.8999999999999986,1.3444444444444414,30,30,90
11,2026-03-31 17:31:55,co2-1,temperature,27.06,28.046666666666667,27.243333333333332,0.9866666666666681,0.18333333333333357,30,30,90
11,2026-03-31 17:31:55,co2-1,humidity,35.873333333333335,38.77,36.76444444444444,2.8966666666666683,0.8911111111111083,30,30,90
11,2026-03-31 17:31:55,co2-1,co2,474.46666666666664,446.1333333333333,450.8333333333333,-28.333333333333314,-23.633333333333326,30,30,90
9,2026-03-31 17:31:55,th-1,temperature,26.636666666666667,27.816666666666666,27.194444444444443,1.1799999999999997,0.5577777777777762,30,30,90
9,2026-03-31 17:31:55,th-1,humidity,30.133333333333333,33.2,31.455555555555556,3.06666666666667,1.3222222222222229,30,30,90
