cultivar,variant,spad_mean,spad_n,diam_cm,diam_cm_n,diam_cm_sd,height_cm,height_cm_n,height_cm_sd,leaf_mass_mkt_g,leaf_mass_mkt_g_n,leaf_mass_mkt_g_sd,leaf_mass_non_g,leaf_mass_non_g_n,leaf_mass_non_g_sd,leaves_n,leaves_n_n,leaves_n_sd,root_len_cm,root_len_cm_n,root_len_cm_sd,root_mass_g,root_mass_g_n,root_mass_g_sd,stem_mass_g,stem_mass_g_n,stem_mass_g_sd,carotenoid,carotenoid_stored,chl_a,chl_b,chl_sum,chl_sum_stored,nitrate,nitrate_stored,sugar,sugar_stored,vit_c,assim_area_m2,dm_pct,rel_turgor_pct,water_deficit_pct,mobile_water_pct,water_hold_pct,loss_pct,mass_after_g,mass_before_g,name,recipe,ppfd,power_w,dli,mkt_per_w_g
Риф,3,42.88333333333333,6.0,28.166666666666668,6.0,2.7868739954771313,14.5,6.0,1.51657508881031,121.05199999999998,5.0,34.38121100252288,26.828000000000003,5.0,5.824792269392152,12.166666666666666,5.5,1.7911526578925183,10.875,5.0,3.308529654583127,14.372,5.0,2.5135472941641663,4.506666666666667,4.333333333333333,1.047777007248148,60.40844999999999,36.546125,2.5416,0.8875,85.72749999999999,51.82124999999999,1.94,8.21,5.8,4.1,3.25,0.03269999999999999,5.9804684124103185,88.86360978513943,11.13639021486056,,44.642372881355946,30.078740157480325,21.03,22.225,ярус 2,4000K-60%,150.8,221.0,9.77184,0.5477466063348415
Риф,4,33.43333333333333,6.0,30.166666666666668,6.0,1.3291601358251257,15.166666666666666,6.0,1.4719601443879742,149.56599999999997,5.0,13.462753433083444,22.253166666666672,5.5,4.396332421928764,14.75,5.5,2.1726039399558577,21.0,6.0,2.6076809620810595,16.887999999999998,5.0,2.2517037993483955,6.912333333333334,5.25,1.9009065424525926,34.399975,34.81822,1.49958,0.46073,49.00775,48.105999999999995,0.877,1.87,5.2,3.4,5.0,0.03462,5.895054323611084,76.0582832677301,23.941716732269885,,58.526256983240216,5.834870848708491,20.15,21.68,ярус 3,4000K-75%,181.3,321.5,11.74824,0.465213063763608
Риф,5,36.98333333333333,6.0,15.161111111111111,6.0,1.81496309897112,13.666666666666666,6.0,1.9663841605003503,139.466,5.0,19.62860743914351,30.262500000000003,4.5,6.71966319866885,12.288888888888888,5.666666666666667,2.4444264957415887,17.833333333333332,6.0,2.9268868558020253,8.757,5.666666666666667,2.4398117276531743,8.120555555555555,5.333333333333333,1.6104951236305296,48.945415000000004,22.415605000000003,2.04603,0.64106,67.17724999999999,34.41525,0.979,3.79,4.8,4.5,3.749999999999999,0.03124,7.306193475650143,67.43849324505784,32.56150675494216,,41.01128349788435,12.738044858231092,21.41,23.630000000000003,ярус 4,4000K-100%,245.5,478.0,15.9084,0.2917698744769875
Триплекс,1,25.525,4.0,33.050000000000004,4.0,2.8478061731796287,10.425,4.0,1.9137659209004636,40.52,3.0,7.106187444755448,2.1233333333333335,3.0,1.2663464507524524,16.5,2.0,3.5355339059327378,20.75,4.0,6.52099174461472,1.0933333333333335,3.0,0.12741009902410927,1.5666666666666667,3.0,0.34312291286554053,38.47842,38.48495,1.6227599999999998,0.4859999999999999,52.718999999999994,54.251999999999995,9.29,15.6,3.4,2.3,0.0,0.03186666666666666,4.3114277026106675,82.04967059639387,17.950329403606133,,44.85765124555159,21.62034856335373,8.35,10.614999999999998,контроль,контроль,79.0,116.3,5.1192,0.3484092863284609
Триплекс,2,17.25,4.0,33.55,4.0,1.7823205847059804,12.075,4.0,1.9805302320338363,103.81333333333333,3.0,9.0733804799167,6.896666666666667,3.0,6.176037024932196,22.5,2.0,6.363961030678928,36.625,4.0,5.437140792732887,6.743333333333333,3.0,1.9515463953832446,4.246666666666666,3.0,0.8476044675043504,54.406065,21.138260000000002,2.32953,0.7158599999999997,76.13475,30.9625,4.28,11.3,4.1,2.2,4.249999999999999,0.02903333333333333,4.082374846203295,68.07777504307157,31.922224956928428,,32.742137456051594,14.840274969672464,9.79,12.365,ярус 1,4000K-33%,95.0,97.0,6.156,1.0702405498281786
Триплекс,3,26.550000000000004,4.0,29.825,4.0,0.2362907813126304,13.925,4.0,0.9639329160614165,94.05,3.0,25.450053045131362,6.48,3.0,7.4763895029619745,24.333333333333332,3.0,8.020806277010642,30.25,4.0,5.200320502943383,8.386666666666667,3.0,1.7972293491186189,4.52,3.0,2.2805920283996435,43.552635,22.860445,1.85835,0.56262,60.52425,33.138749999999995,2.75,12.7,4.8,3.0,3.5,0.03223333333333333,4.348411874777124,143.0056523973279,-43.00565239732792,,26.223035246606287,15.90705987488829,9.72,11.19,ярус 2,4000K-60%,150.8,221.0,9.77184,0.4255656108597285
Триплекс,4,31.924999999999997,4.0,32.875,4.0,3.5789896153337293,14.049999999999999,4.0,1.1090536506409414,108.82666666666667,3.0,57.71014844317534,10.473333333333334,3.0,6.786562703853353,29.666666666666668,3.0,9.291573243177568,35.0,4.0,7.222649560006817,10.143333333333333,3.0,2.876009967530247,5.330000000000001,3.0,1.0135580891098448,12.207540000000003,25.059159999999995,0.52986,0.12533999999999995,16.38,36.84799999999999,3.88,6.0,5.1,3.2,3.0,0.034466666666666666,5.034669017043742,90.49885045179921,9.501149548200777,,34.09338993329291,12.61061946902656,10.12,11.3,ярус 3,4000K-75%,181.3,321.5,11.74824,0.3384966303784344
Триплекс,5,32.425,4.0,28.575,4.0,3.197264455749632,14.749999999999998,4.0,1.3964240043768947,125.80333333333333,3.0,47.37274568075333,17.38,3.0,5.0629931858536015,24.333333333333332,3.0,3.7859388972001824,34.9,4.0,6.375473838599502,14.223333333333334,3.0,1.2965081308396535,9.33,3.0,1.4749915253993828,41.6818,26.991455000000006,1.7175899999999997,0.50379,55.534499999999994,37.745749999999994,3.81,5.81,4.1,2.9,3.0,0.036399999999999995,5.4107475961961065,90.09089807296087,9.90910192703913,,32.56943903136123,14.920505503465165,11.02,12.265,ярус 4,4000K-100%,245.5,478.0,15.9084,0.263186889818689
Цезарь,1,43.550000000000004,6.0,20.5,6.0,10.193134944657606,21.833333333333332,6.0,2.136976056643281,40.694,5.0,19.483640060317267,9.219999999999999,5.0,5.0165575846390915,11.8,5.0,1.6431676725154984,12.166666666666666,6.0,10.778064142816495,1.254,5.0,1.9550524289645022,3.5420000000000003,5.0,0.956958724292746,98.47692500000001,41.351405,4.20039,1.6288399999999994,145.73075,58.47425,3.66,6.54,4.1,4.2,3.0,0.02232,7.108161729493077,95.01557632398759,4.984423676012423,,28.82711864406778,4.4986177431515415,19.03,19.895,контроль,контроль,79.0,116.3,5.1192,0.34990541702493555
Цезарь,2,42.68333333333333,6.0,37.833333333333336,6.0,2.136976056643281,20.666666666666668,6.0,3.669695718539436,99.05,5.0,32.92167447138739,18.688,5.0,4.481508674542536,18.4,5.0,2.6076809620810595,25.833333333333332,6.0,7.277820186475251,11.986,5.0,4.051151688100558,7.784000000000001,5.0,2.074940963015575,88.54642,49.511500000000005,3.77142,1.1830599999999993,123.862,69.09499999999998,2.78,4.46,4.0,3.7,1.75,0.0304,7.809917355371976,91.02340284986316,8.976597150136842,,36.28254847645429,15.371585856447183,21.19,23.615000000000002,ярус 1,4000K-33%,95.0,97.0,6.156,1.0211340206185566
Цезарь,3,53.06666666666667,6.0,29.166666666666668,6.0,5.845225972250061,11.5,6.0,2.8809720581775866,58.669999999999995,5.0,44.11392863937647,37.644,5.0,32.60906515066018,12.8,5.0,8.955445270895245,29.166666666666668,6.0,9.368386556214826,14.86,5.0,3.5329520234500777,5.732,5.0,3.824097279097382,95.859125,87.751745,4.08426,1.2439099999999996,133.20424999999997,128.34075,2.4,4.18,3.8,4.8,5.0,0.032780000000000004,8.955756096223023,93.4847728407389,6.515227159261112,,30.35140562248999,3.318681318681314,22.53,22.75,ярус 2,4000K-60%,150.8,221.0,9.77184,0.2654751131221719
Цезарь,4,56.23333333333333,6.0,30.333333333333332,6.0,4.676180777800049,14.0,6.0,1.4142135623730951,98.846,5.0,39.848278883786186,25.724,5.0,6.541393582410402,22.0,5.0,6.6332495807108,24.166666666666668,6.0,5.344779384283945,16.444,5.0,7.381262087204329,8.59,5.0,2.91758461745328,31.116895,50.16088,1.2854100000000002,0.5415999999999999,45.675250000000005,69.8625,1.31,2.01,2.4,5.5,3.5,0.034699999999999995,9.310134310134302,101.12605290379787,-1.1260529037978695,,38.31500000000002,2.8341993386868296,21.3,21.17,ярус 3,4000K-75%,181.3,321.5,11.74824,0.307452566096423
Цезарь,5,56.76666666666667,6.0,26.5,6.0,2.8809720581775866,8.666666666666666,6.0,3.204163957519444,32.065999999999995,5.0,35.2625237327109,59.388,5.0,15.953967218218795,7.6,5.0,7.536577472566709,26.333333333333332,6.0,3.669695718539436,18.407999999999998,5.0,4.508743727469992,5.581999999999999,5.0,5.3674640194415835,94.89156999999999,87.55400499999998,3.9024,1.24654,128.7235,127.82775,1.92,2.61,5.5,5.9,4.75,0.03846000000000001,9.548836967268544,89.82624148484555,10.173758515154463,,33.2743764172336,3.705419175544236,19.49,21.59,ярус 4,4000K-100%,245.5,478.0,15.9084,0.06708368200836819
